x,Curve1
0,00067"0,00205
0,03975"0,0193
0,04239"0,02161
0,06066"0,02844
0,07802"0,03603
0,09835"0,04297
0,12134"0,0521"
0,14165"0,05866
0,15673"0,06463
0,16956"0,0703
0,18613"0,07622
0,20158"0,08218
0,21813"0,08772
0,23322"0,09407
0,25091"0,10034
0,26412"0,10599
0,2822"0,11262
0,29916"0,11967
0,31612"0,12634
0,33308"0,13301
0,35382"0,14146
0,37305"0,1492"
0,39004"0,15701
0,41154"0,16619
0,43719"0,17714
0,46287"0,18923
0,48401"0,1988
0,50516"0,20876
0,52253"0,21693
0,5403"0,22624
0,5592"0,23551
0,57696"0,24443
0,59778"0,25592
0,61818"0,2659
0,63899"0,277
0,65979"0,28811
0,68212"0,30031
0,70443"0,31174
0,72453"0,32439
0,74609"0,33586
0,76541"0,34739
0,78475"0,3593"
0,80596"0,37154
0,82641"0,38342
0,84803"0,39716
0,86473"0,40802
0,8822"0,41999
0,90155"0,43229
0,92165"0,44494
0,94028"0,45839
0,95969"0,47335
