t;Vx;Vy;vorticite;Fx;Fy;Fz;
1,5;0,99942183;-0,009028839;-2,52E-09;;-144,2755; 0.0 ];
3;0,9986956;-0,010171082;-1,69E-08;;-38,87323; 0.0 ];0,269212723
4,5;1,00001;-0,010650733;9,09E-08;-0,6459243;24,346611; 0.0 ];
6;1,0028558;-0,01065365;1,97E-07;3,0293005;75,33652; 0.0 ];
7,5;1,0062935;-0,010459812;2,16E-07;2,3510358;91,852936; 0.0 ];
9;1,0099552;-0,010282245;-1,42E-07;-0,407829;94,85265; 0.0 ];
10,5;1,0122025;-0,010301822;-3,83E-07;-2,7475631;52,988884; 0.0 ];
12;1,0125165;-0,010451826;-8,76E-08;-1,5017376;0,31906718; 0.0 ];
13,5;1,0105941;-0,010645175;-3,02E-07;2,100036;-53,795418; 0.0 ];
15;1,0072777;-0,010915247;-5,65E-08;3,3903718;-89,736176; 0.0 ];
16,5;1,0041525;-0,011313194;-1,06E-07;1,0762734;-87,44633; 0.0 ];
18;1,0019779;-0,011830065;3,06E-07;-1,9664319;-67,3235; 0.0 ];
19,5;1,0013165;-0,012315181;3,88E-07;-2,664;-30,399187; 0.0 ];
21;1,0025179;-0,012502509;3,77E-07;0,08475207;24,880453; 0.0 ];
22,5;1,0053232;-0,012305258;-3,99E-07;3,5223763;74,52987; 0.0 ];
24;1,0088329;-0,011927068;-2,24E-07;2,8536963;95,00551; 0.0 ];
25,5;1,0124125;-0,011593167;9,94E-08;-0,19523457;93,46435; 0.0 ];
27;1,0146995;-0,011454939;3,22E-07;-2,6852624;54,011604; 0.0 ];
28,5;1,0151958;-0,011471817;8,78E-08;-1,7498897;3,8505144; 0.0 ];
30;1,01348;-0,01154049;1,41E-07;1,731048;-49,690083; 0.0 ];
31,5;1,0102522;-0,01167956;3,43E-07;3,4656658;-87,871735; 0.0 ];
33;1,0071092;-0,011944794;3,70E-07;1,3509554;-88,1874; 0.0 ];
34,5;1,0047159;-0,012335514;-3,03E-07;-1,8851893;-73,37652; 0.0 ];
36;1,0039082;-0,012715325;1,99E-08;-2,9344149;-34,385284; 0.0 ];
37,5;1,0049561;-0,012812346;-5,94E-07;-0,45920053;19,794174; 0.0 ];
39;1,0076666;-0,012523742;-1,49E-07;3,2688735;71,683655; 0.0 ];
40,5;1,0111912;-0,012022152;5,19E-07;3,028108;96,40518; 0.0 ];
42;1,0146742;-0,011593383;2,82E-07;0,003301825;90,99861; 0.0 ];
43,5;1,0169683;-0,011364007;4,18E-07;-2,7187164;54,8081; 0.0 ];
45;1,0176026;-0,011283727;4,01E-07;-2,1369185;7,7889504; 0.0 ];
46,5;1,0160472;-0,011266354;4,44E-08;1,2424947;-44,952206; 0.0 ];
48;1,0128398;-0,011314936;-2,98E-07;3,4866269;-86,599205; 0.0 ];
49,5;1,0095704;-0,011493767;-1,44E-07;1,5944967;-90,095535; 0.0 ];
51;1,0068041;-0,011835092;1,32E-07;-1,6101178;-82,22193; 0.0 ];
52,5;1,0057762;-0,012171887;-1,68E-07;-3,0706077;-38,55254; 0.0 ];
54;1,0066129;-0,012241715;-4,14E-07;-0,8895281;15,177113; 0.0 ];
55,5;1,0091708;-0,011930367;-3,00E-07;2,998403;69,17976; 0.0 ];
57;1,0126543;-0,011382911;-6,47E-08;3,237684;96,908615; 0.0 ];
58,5;1,016031;-0,01091827;1,28E-07;0,32075027;89,24357; 0.0 ];
60;1,0183232;-0,01064943;3,40E-07;-2,639781;56,380657; 0.0 ];
61,5;1,0190308;-0,010534329;9,58E-08;-2,4340427;11,129595; 0.0 ];
63;1,0175836;-0,010512829;2,33E-08;0,77205014;-41,50926; 0.0 ];
64,5;1,0143733;-0,010566356;-1,15E-07;3,366079;-84,837616; 0.0 ];
66;1,0109301;-0,010755059;1,09E-07;1,9063659;-93,3947; 0.0 ];
67,5;1,0077947;-0,011197453;8,77E-07;-1,2058582;-91,970985; 0.0 ];
69;1,0064405;-0,011532672;2,60E-08;-3,0825007;-44,12365; 0.0 ];
70,5;1,0070566;-0,011644797;-4,19E-07;-1,2676883;10,803885; 0.0 ];
72;1,0094306;-0,011387337;3,83E-07;2,494428;65,340836; 0.0 ];
73,5;1,0128443;-0,010892605;5,27E-07;3,2990446;96,25399; 0.0 ];
75;1,0161512;-0,010473377;4,64E-08;0,58020306;88,3968; 0.0 ];
76,5;1,0184997;-0,010227868;1,43E-07;-2,5107307;59,048668; 0.0 ];
78;1,0193124;-0,010136692;6,51E-07;-2,7115119;15,112443; 0.0 ];
79,5;1,0180346;-0,010171643;-1,56E-07;0,22509174;-36,916443; 0.0 ];
