t,Vx,Vy,vorticite,Fx,Fy,Fz
1.5,1.0061362,-0.008788275,3.0122465E-8,[ -49.525196, 29.552114, 0.0 ]
3.0,1.0070307,-0.009318661,7.975905E-8,[ -2.7407615, 11.166491, 0.0 ]
4.5,1.0074261,-0.009459797,-7.453491E-8,[ -1.2375299, 4.611097, 0.0 ]
6.0,1.0073922,-0.00946781,1.8859282E-7,[ -0.8808551, -4.844954, 0.0 ]
7.5,1.0069822,-0.0094869835,-6.891787E-8,[ -0.80581015, -13.752233, 0.0 ]
9.0,1.0063471,-0.009579398,-5.5268174E-8,[ -0.68978655, -18.564, 0.0 ]
10.5,1.0056441,-0.009780201,2.70491E-7,[ -0.5181068, -19.47548, 0.0 ]
12.0,1.0051234,-0.010067602,3.214518E-8,[ -0.30325088, -14.6249275, 0.0 ]
13.5,1.0048847,-0.010396743,-6.456685E-8,[ -0.2481114, -8.598285, 0.0 ]
15.0,1.0050478,-0.010746216,1.2520468E-7,[ -0.22821447, -0.80612284, 0.0 ]
16.5,1.0056305,-0.011062466,-3.096793E-7,[ -0.33632523, 7.725138, 0.0 ]
18.0,1.0066113,-0.011322107,-9.399082E-8,[ -0.5357198, 21.266182, 0.0 ]
19.5,1.007664,-0.011404907,2.4121255E-7,[ -0.46845344, 23.934029, 0.0 ]
21.0,1.0086395,-0.011359226,-2.7683564E-7,[ -0.26653418, 22.419165, 0.0 ]
22.5,1.0092537,-0.01121472,1.0007352E-7,[ -0.22704415, 13.975073, 0.0 ]
24.0,1.0094467,-0.011008218,-2.5048212E-7,[ -0.3227968, 3.3032382, 0.0 ]
25.5,1.0092375,-0.010823934,-2.0477455E-7,[ -0.46991768, -7.454335, 0.0 ]
27.0,1.0086699,-0.010723149,-3.7158316E-7,[ -0.65355194, -16.558329, 0.0 ]
28.5,1.0079154,-0.01074039,4.736794E-7,[ -0.6163589, -20.729803, 0.0 ]
30.0,1.0071425,-0.010898685,5.7135185E-7,[ -0.51487297, -20.54302, 0.0 ]
31.5,1.006607,-0.011146583,3.279565E-7,[ -0.36123592, -14.662564, 0.0 ]
33.0,1.0064011,-0.01145498,5.0655217E-8,[ -0.30010384, -8.286099, 0.0 ]
34.5,1.0066371,-0.011775806,-3.525929E-7,[ -0.31813204, 0.40428698, 0.0 ]
36.0,1.0072966,-0.0120514035,-8.153438E-8,[ -0.44857323, 9.131578, 0.0 ]
37.5,1.0083438,-0.012258976,1.3387762E-8,[ -0.62926424, 22.993694, 0.0 ]
39.0,1.0094388,-0.012278574,4.645699E-7,[ -0.51888, 25.297123, 0.0 ]
40.5,1.010379,-0.012178982,1.3360113E-7,[ -0.3088124, 22.429167, 0.0 ]
42.0,1.0109246,-0.01197105,-2.4866313E-7,[ -0.33084142, 12.636118, 0.0 ]
43.5,1.0110562,-0.011729851,1.363369E-7,[ -0.4740401, 1.4980866, 0.0 ]
45.0,1.0107872,-0.011526064,2.283632E-7,[ -0.62585795, -9.303068, 0.0 ]
46.5,1.0101805,-0.011419554,8.1630424E-7,[ -0.75983465, -17.77825, 0.0 ]
48.0,1.0094038,-0.011439431,5.660986E-7,[ -0.70020485, -21.496033, 0.0 ]
49.5,1.008661,-0.011597235,2.734887E-7,[ -0.5477233, -19.94384, 0.0 ]
51.0,1.0081749,-0.011835221,1.7427374E-7,[ -0.46721175, -14.0339155, 0.0 ]
52.5,1.0080549,-0.012125266,3.0703086E-7,[ -0.4316752, -6.8324876, 0.0 ]
54.0,1.0083865,-0.012425619,9.150244E-8,[ -0.47433788, 2.396384, 0.0 ]
55.5,1.0091238,-0.012662405,2.2229506E-7,[ -0.6292789, 10.923859, 0.0 ]
57.0,1.0102197,-0.012822805,-6.402843E-8,[ -0.72661114, 24.202618, 0.0 ]
58.5,1.0113275,-0.012785238,-1.2846431E-7,[ -0.604932, 25.806389, 0.0 ]
60.0,1.0122033,-0.012631295,5.0466042E-8,[ -0.4257973, 20.82386, 0.0 ]
61.5,1.0126771,-0.012385207,-5.720067E-7,[ -0.48116314, 10.676002, 0.0 ]
63.0,1.0127339,-0.012117645,-3.8357393E-7,[ -0.6117419, -0.5652083, 0.0 ]
64.5,1.0123899,-0.011907778,4.1253224E-7,[ -0.785023, -11.369799, 0.0 ]
66.0,1.0117351,-0.011805727,-2.9227522E-7,[ -0.87552273, -18.92224, 0.0 ]
67.5,1.0109317,-0.0118379025,-1.3873796E-7,[ -0.77677065, -22.234, 0.0 ]
69.0,1.0102262,-0.0120036155,-1.713779E-7,[ -0.6282784, -19.074352, 0.0 ]
70.5,1.0098009,-0.012241438,3.2476964E-7,[ -0.5646911, -12.833546, 0.0 ]
72.0,1.0097611,-0.012526775,-2.445595E-7,[ -0.55061674, -5.037407, 0.0 ]
73.5,1.010181,-0.012807709,-4.2893225E-7,[ -0.59215176, 4.4853907, 0.0 ]
75.0,1.0109864,-0.013015735,-5.5064447E-8,[ -0.74254626, 12.93859, 0.0 ]
76.5,1.0121093,-0.01313015,1.1452357E-7,[ -0.77292806, 25.161167, 0.0 ]
78.0,1.0131888,-0.01304749,2.5848567E-7,[ -0.6268535, 25.365541, 0.0 ]
79.5,1.013973,-0.012855574,1.46683306E-8,[ -0.5071819, 18.72997, 0.0 ]
81.0,1.0143489,-0.012581544,1.9402069E-7,[ -0.59030837, 8.285777, 0.0 ]
82.5,1.0143051,-0.012303274,-3.2012758E-7,[ -0.7271879, -3.0611181, 0.0 ]
84.0,1.0138628,-0.0120961955,-9.180803E-8,[ -0.8780208, -13.675475, 0.0 ]
85.5,1.0131509,-0.01201224,-2.779998E-7,[ -0.9045859, -20.176882, 0.0 ]
87.0,1.0123241,-0.0120716095,-2.7343049E-8,[ -0.7795776, -22.483679, 0.0 ]
88.5,1.0116556,-0.012245381,2.1101732E-7,[ -0.65786177, -17.952055, 0.0 ]
90.0,1.0112967,-0.012497351,9.2666596E-7,[ -0.59322083, -11.236948, 0.0 ]
91.5,1.0113502,-0.012787208,7.180497E-7,[ -0.60703665, -2.8437417, 0.0 ]
93.0,1.0118561,-0.013057935,5.543552E-7,[ -0.68270254, 6.7884874, 0.0 ]
94.5,1.0127366,-0.013241588,5.49524E-7,[ -0.81687605, 15.246472, 0.0 ]
96.0,1.0138948,-0.013321206,-1.8010905E-7,[ -0.7621468, 26.264225, 0.0 ]
97.5,1.014933,-0.013206417,4.240719E-7,[ -0.58867913, 24.585022, 0.0 ]
99.0,1.0156275,-0.012989899,-3.8792496E-7,[ -0.5330973, 16.680536, 0.0 ]
100.5,1.0159104,-0.012704914,-1.4282705E-7,[ -0.64377105, 5.838563, 0.0 ]
102.0,1.0157702,-0.012432818,-3.0364026E-7,[ -0.7838104, -5.5625253, 0.0 ]
103.5,1.0152357,-0.01224677,-1.7337152E-7,[ -0.92691445, -15.862751, 0.0 ]
105.0,1.0144632,-0.012191407,-1.8985884E-7,[ -0.88768864, -21.498358, 0.0 ]
106.5,1.0136163,-0.012285502,-2.1036249E-7,[ -0.7641542, -22.645245, 0.0 ]
108.0,1.0129938,-0.012480924,-3.6429265E-7,[ -0.6370574, -17.02008, 0.0 ]
109.5,1.0127056,-0.012754256,-2.993911E-7,[ -0.5970687, -9.894911, 0.0 ]
